
> advent-of-code-2020@1.0.0 start /Users/lauragreen/GitHub/advent-of-code-2020
> node puzzles/02/part1.js

3 11 z zzzzzdzzzzlzz
3 7 x xjxbgpxxgtx
3 4 v vvmv
9 10 j jjjjjjjjqjjjj
2 6 n gnntnnsnnqjsbrn
3 4 g vrggfvxsgmggkgsm
1 4 c brccqr
1 5 h hhhzzvcdhhhhhhhh
1 13 q hqqqqqqqqqqqlq
3 9 b bbbbsfbbc
3 9 k wjkwhnkkfvxk
3 11 v vgkvvcjvvvv
9 11 z lzzzgzzmzzdzzz
8 11 r rrrrrrrrrrcrdrr
1 9 v mlvvvxnwrwvv
4 6 z mzzzzz
8 11 w wwwwwwwjwwww
19 20 h hhhhhhhhhhhhhhhhhhfh
1 4 z nzzcz
10 11 d ddldddddxdfdd
10 14 d dddddcddndkddd
7 15 h hhhhhhhhhhhhhhhhh
1 9 h rhhhhhhhhh
3 4 m mmztmm
4 6 w wmwxcwwlwwj
7 15 g ggggggggggnggglgg
9 14 n ntnnnnqnnnnnng
2 3 f fffl
1 7 b bjsqsbbzblt
3 6 c cckccccc
1 7 l tlllllll
12 18 w wwwwwwwwwnwwwwwwwsww
5 8 k kkkgkjkdkrwgk
10 12 z gczzgvzzpzwzzzzzf
11 12 x xxxxxxxxxnqxxnxx
4 7 c chccccgccccscpcc
7 9 k kqbkxhkkkkkscfr
2 4 r rrrrr
1 10 k kkbdtkkqrkkkkkknklk
5 6 k kbkqkqkk
6 9 s sbssspssk
2 8 r ttbrrmrfr
16 17 c cccccscckccccccvccc
4 12 s swssssssssshjsszrss
1 2 r rkrrrrrtrrdnrr
2 3 k knkrk
4 5 f pwrbffffc
7 9 n nnntnnnpnbjjn
6 13 r rrrrrrrrrrrrrr
13 16 m mmmmkmmmmmmmmmmmmmm
1 5 w wwwwhhwgwfgfkvwqbx
4 7 n nbjnnnqnbpc
9 12 f ffffffqfpgvzgfnf
11 12 m mmmmmmtmmmmm
6 10 g gggggtgggmgggg
9 16 p prppzppdppppkpjfpc
1 3 x xkrbrxdvrncxd
13 18 d dddmddddjdtdddddddd
3 4 z zzdzc
8 9 m mmmmmmmpm
4 10 v rvzqvrvvgvqvv
1 9 q jnhbqjlvq
5 13 d sddkhdjddkddpkvdsw
5 7 s knzhssbxsjcssnsqb
10 15 p ppgvpppvplpppxpcp
5 6 q dqlvjfqqqqmqxq
8 10 j jjjjjwjxgknjfjj
7 16 x xxxxxxxxxxxxxxxcx
9 13 h hhhhzvwhhbhhhhljhh
1 5 r rhrvrprwwb
5 8 h hhhhhhhjh
3 6 p ppgppsp
2 12 w wwwwwwwwwwwww
2 3 c cpncdqzp
3 4 f ffllffqjf
1 9 c ccccccccbcc
2 3 s ftss
4 11 m mmgmpmsqrmmmbwmm
6 8 g gggvgggv
8 14 h whhhlhhdhhhlhhh
5 11 h hnhhhhhhhhthmh
5 7 x xvxxxxxqxw
1 3 m mnbt
1 6 g bgggbwghg
1 6 f sptjzfxcfw
9 12 g ggzgggggvgtjgg
4 5 j jjjgj
1 3 g htmg
6 8 j jjjjjmjjjjjj
12 14 h xhhhhhhhhhhlhhfhh
6 17 q qqqlqqqqqqqqqqqqbqqq
6 7 j vjjrvjjjwzj
3 9 f fffffffff
2 5 s ssssqn
1 4 t ttlcttw
3 4 j jjhjwbjj
6 8 h xhhchhfchh
9 10 n rnnnnnnncnnnn
1 4 l lvslw
